X,Y,OBJECTID,project,Farm,Lat,Long,Depth,Depthcode,pH,N,OC,P,Ca,Mg,K,Na,Zn,Cu,Mn,Fe
8.10427400000003,7.11706700000008,1324,National survey,"NRCRI, Otobi",7.117067,8.104274,15-30 cm,2,5.74,0.085127,1.02,3.711982,528.4884,92.51436,67.098728,52.87815,0,0,0,0
7.64793300000002,9.00860000000006,1325,National survey,Karu,9.0086,7.647933,15-30 cm,2,5.165,0.0855,0.655,5.4,805,229.2,281.52,117.3,0,0,0,0
8.05000000000007,6.36666700000006,1326,National survey,Alexander Obasi,6.366667,8.05,0-15 cm,1,6.19,0.030305,0.085502,1.901878,957.8072,171.38232,90.569676,40.45309,0,0,0,0
8.28333300000003,6.66666700000007,1327,National survey,HRH. Eze Paul Nweze,6.666667,8.283333,0-15 cm,1,6.35,0.032803,0.085619,3.607724,469.311,71.70372,46.290099,40.32452,0,0,0,0
8.10498600000005,7.11640000000006,1328,National survey,"NRCRI, Otobi",7.1164,8.104986,15-30 cm,2,5.99,0.085656,1.14703,4.081451,699.2222,169.71168,94.548492,48.98034,0,0,0,0
8.60091700000004,8.96108300000003,1329,National survey,Wamba,8.961083,8.600917,0-15 cm,1,6.37,0.086,0.95,4.42,496,168.6,189.635,115,0,0,0,0
7.80873300000007,8.67966700000005,1330,National survey,Laminga,8.679667,7.808733,15-30 cm,2,6.33,0.086,0.81,4.19,1039,279.6,218.96,161,0,0,0,0
8.57498300000003,8.47851700000007,1331,National survey,Mararaba,8.478517,8.574983,15-30 cm,2,5.58,0.086,0.45,4.075,972,297.6,349.945,82.8,0,0,0,0
7.11666700000006,7.30000000000007,1332,National survey,Audu Imaji,7.3,7.116667,15-30 cm,2,6.95,0.015347,0.08684,1.981354,378.1398,91.29672,77.552895,68.84544,0,0,0,0
8.03765000000004,8.84936700000003,1333,National survey,Mararaba Gate Kokona,8.849367,8.03765,0-15 cm,1,5.86,0.087,0.78,1.36,577,213.6,244.375,105.8,0,0,0,0
8.43611700000002,8.68245000000007,1334,National survey,Kagbu A,8.68245,8.436117,15-30 cm,2,5.195,0.087,0.69,3.325,1314,277.2,265.88,113.85,0,0,0,0
8.78818300000006,8.56948300000005,1335,National survey,Ashagwa,8.569483,8.788183,15-30 cm,2,6.485,0.087,0.97,3.33,932,287.4,297.16,109.25,0,0,0,0
8.23785000000004,8.86320000000006,1336,National survey,Onyi,8.8632,8.23785,0-15 cm,1,5.375,0.0875,0.525,3.12,866,154.8,123.165,134.55,0,0,0,0
8.75000000000006,8.38375000000002,1337,National survey,Obi Town,8.38375,8.75,0-15 cm,1,6.425,0.0875,0.945,1.885,772,201,654.925,104.65,0,0,0,0
7.82266700000002,8.71546700000005,1338,National survey,Keffi Shanu,8.715467,7.822667,15-30 cm,2,6.35,0.0875,0.855,4.63,1006,306,377.315,149.5,0,0,0,0
8.41366700000003,8.44003300000003,1339,National survey,Kawo Doma,8.440033,8.413667,15-30 cm,2,6.31,0.0875,0.9,5.995,835,226.8,263.925,133.4,0,0,0,0
8.98860000000008,7.40676700000006,1340,National survey,Tee-kucha,7.406767,8.9886,0-15 cm,1,5.6,0.088,0.69,4,1356,271.2,821.1,315.1,0,0,0,0
7.98843300000004,7.18185000000005,1341,National survey,Ochobo-(Oluumini LGA),7.18185,7.988433,0-15 cm,1,6.12,0.088,0.66,3.8,572,114,1075.25,409.4,0,0,0,0
7.12020000000007,8.28886700000004,1342,National survey,Shafa Abakpa,8.288867,7.1202,0-15 cm,1,5.665,0.088,0.61,2.895,636,220.8,351.9,131.1,0,0,0,0
8.60806700000006,8.51143300000007,1343,National survey,T/Gwandara,8.511433,8.608067,15-30 cm,2,5.34,0.088,0.62,2.73,635,243,782,63.25,0,0,0,0
7.29755000000006,8.45448000000005,1344,National survey,Gada Buke,8.45448,7.29755,15-30 cm,2,5.66,0.088,1.08,1.87,282,825.6,23.46,87.4,0,0,0,0
7.81386000000003,8.30360000000007,1345,National survey,Mararaba Udege,8.3036,7.81386,15-30 cm,2,5.9,0.088,0.55,2.4,338,676.8,15.64,41.4,0,0,0,0
8.55601700000005,7.64998300000002,1346,National survey,Apir,7.649983,8.556017,0-15 cm,1,5.75,0.089,0.6,3.78,556,111.6,508.3,264.5,0,0,0,0
8.40745000000004,8.92786700000005,1347,National survey,Student village Akwaga,8.927867,8.40745,0-15 cm,1,5.425,0.089,0.66,2.915,1062,310.2,500.48,185.15,0,0,0,0
7.78013300000003,8.62208300000003,1348,National survey,Shamango,8.622083,7.780133,0-15 cm,1,6.175,0.089,0.79,2.755,328,92.4,97.75,42.55,0,0,0,0
8.52956700000004,8.62881700000003,1349,National survey,Danka Sarki,8.628817,8.529567,0-15 cm,1,5.675,0.089,0.575,3.865,294,85.2,123.165,48.3,0,0,0,0
8.29675000000003,8.94193300000006,1350,National survey,Awen Moro road,8.941933,8.29675,0-15 cm,1,6.28,0.0895,0.63,1.735,455,109.2,181.815,60.95,0,0,0,0
8.57433300000002,7.95196700000002,1351,National survey,Yele wata,7.951967,8.574333,0-15 cm,1,6.1,0.09,0.7,4.7,520,183.6,1184.73,409.4,0,0,0,0
8.77851700000002,8.07976700000006,1352,National survey,Borta,8.079767,8.778517,0-15 cm,1,6.21,0.09,0.82,2.835,520,139.2,181.815,86.25,0,0,0,0
7.17153300000007,8.08668300000005,1353,National survey,Kanyelo,8.086683,7.171533,0-15 cm,1,6.1,0.09,0.92,3.9,318,534,19.55,59.8,0,0,0,0
7.94176700000003,9.11973300000005,1354,National survey,Gitata,9.119733,7.941767,15-30 cm,2,6.225,0.09,0.595,5.335,495,136.2,86.02,34.5,0,0,0,0
7.60645000000005,8.35138000000006,1355,National survey,AJAGA,8.35138,7.60645,15-30 cm,2,6.26,0.09,0.3,3.3,276,432,15.64,66.7,0,0,0,0
7.57745000000006,8.24235000000004,1356,National survey,AJAGA,8.24235,7.57745,15-30 cm,2,6.06,0.09,0.74,2.9,312,676.8,19.55,52.9,0,0,0,0
7.93570000000005,8.23085000000003,1357,National survey,Farin-dutse,8.23085,7.9357,15-30 cm,2,6.29,0.09,1.1,3.2,302,412.8,19.55,80.5,0,0,0,0
7.39970000000005,8.49700000000007,1358,National survey,Nakuse,8.497,7.3997,15-30 cm,2,6.32,0.09,1.1,3.7,246,684,15.64,50.6,0,0,0,0
8.54581700000006,8.94446700000003,1359,National survey,Nakere,8.944467,8.545817,0-15 cm,1,5.16,0.0905,0.54,2.1,942,250.2,224.825,155.25,0,0,0,0
7.02447700000005,6.79084600000004,1360,National survey,Dulugha,6.790846,7.024477,15-30 cm,2,5.09,0.090511,1.052955,4.237371,130.3754,21.46116,55.299521,119.29916,0,0,0,0
7.22305600000004,8.22250000000003,1361,National survey,Ugya,8.2225,7.223056,0-15 cm,1,6.29,0.091,0.57,4.1,272,610.8,19.55,41.4,0,0,0,0
7.32500000000005,8.46600000000007,1362,National survey,Munji,8.466,7.325,15-30 cm,2,5.54,0.091,1.2,3.6,270,822,19.55,55.2,0,0,0,0
7.88830000000007,8.92041700000004,1363,National survey,Kwano,8.920417,7.8883,0-15 cm,1,6.175,0.0915,0.85,4.225,781,207,306.935,57.5,0,0,0,0
8.05000000000007,6.18333300000006,1364,National survey,Mr. Aloke Nwanbueze,6.183333,8.05,15-30 cm,2,6.14,0.02328,0.091783,1.757136,122.2214,28.86324,46.290099,40.38961,0,0,0,0
7.93333300000006,6.75000000000006,1365,National survey,Onmeje Okibe,6.75,7.933333,0-15 cm,1,6.68,0.01041,0.091803,7.070472,775.461,84.08568,118.048765,29.38894,0,0,0,0
9.35735300000005,6.61814400000003,1366,National survey,Godilogo,6.618144,9.357353,15-30 cm,2,5.51,0.09213,1.182426,1.399917,347.0064,180.44256,90.436736,114.47951,0,0,0,0
8.45095000000003,8.51608300000004,1367,National survey, ,8.516083,8.45095,0-15 cm,1,6.025,0.0925,0.8,1.83,732,232.8,758.54,83.95,0,0,0,0
8.40745000000004,8.92786700000005,1368,National survey,Student village (Akwanga),8.927867,8.40745,15-30 cm,2,5.575,0.0925,0.7005,2.77,1152,324.6,426.19,132.25,0,0,0,0
8.39938300000006,9.03930000000003,1369,National survey,Andaha,9.0393,8.399383,15-30 cm,2,5.03,0.0945,0.625,3.23,967,300,854.335,186.3,0,0,0,0
9.35746000000006,6.61877400000003,1370,National survey,Godilogo,6.618774,9.35746,15-30 cm,2,6.44,0.094872,1.085575,4.717049,539.9604,132.20436,88.016837,53.9258,0,0,0,0
8.89386700000006,7.54223300000007,1371,National survey,Anune,7.542233,8.893867,0-15 cm,1,5.5,0.095,0.65,3.9,582,116.4,1040.06,276,0,0,0,0
8.03908300000006,6.94891700000005,1372,National survey,Utokon (Ado),6.948917,8.039083,0-15 cm,1,6.35,0.095,0.8,4.3,1078,216,1419.33,172.5,0,0,0,0
7.95895000000007,8.83860000000004,1373,National survey,Bakin Anini,8.8386,7.95895,15-30 cm,2,5.875,0.095,0.89,5.675,794,235.2,467.245,161,0,0,0,0
8.81313300000005,8.28376700000007,1374,National survey,Agaza,8.283767,8.813133,15-30 cm,2,6.425,0.095,0.9,4.58,387,91.8,164.22,82.8,0,0,0,0
9.35735300000005,6.61814400000003,1375,National survey,Godilogo,6.618144,9.357353,30-60 cm,3,5.92,0.09593,0.991288,1.064991,281.0426,118.8456,93.314887,54.3605,0,0,0,0
7.60645000000005,8.35138000000006,1376,National survey,AJAGA,8.35138,7.60645,0-15 cm,1,6.35,0.096,0.36,3.8,264,386.4,15.64,46,0,0,0,0
8.53851700000007,8.75140000000005,1377,National survey,Gidan waya,8.7514,8.538517,0-15 cm,1,5.64,0.0965,0.875,3.315,1291,347.4,649.06,217.35,0,0,0,0
7.93943300000007,8.83335000000005,1378,National survey,Old Barack keffi,8.83335,7.939433,0-15 cm,1,6.175,0.0975,0.84,3.56,363,107.4,144.67,59.8,0,0,0,0
9.16666700000007,8.10000000000002,1379,National survey,Kekura 2,8.1,9.166667,15-30 cm,2,6.185,0.098,0.625,1.435,607,170.4,211.14,82.8,0,0,0,0
